id,key,value,type
4317655,cycleway,lane,regular
4317655,highway,primary,regular
4317655,lanes,2,regular
4317655,lit,yes,regular
4317655,name,绍兴路,regular
4317655,en,Shaoxing Road,name
4317655,zh,绍兴路,name
4317655,oneway,yes,regular
4317655,source,survey,regular
4375779,name,西湖隧道,regular
4375779,layer,-1,regular
4375779,oneway,yes,regular
4375779,tunnel,yes,regular
4375779,highway,primary,regular
4375779,en,West Lake Tunnel,name
4441669,highway,unclassified,regular
4441669,created_by,JOSM,regular
4531425,source,PGS,regular
4536466,source,PGS,regular
4555454,source,PGS,regular
4575819,highway,secondary,regular
4575819,name,滨盛路,regular
4575819,en,Binsheng Road,name
4575819,zh,滨盛路,name
4575819,zh_pinyin,Bīnshèng Lù,name
5038206,lit,yes,regular
5038206,name,之江路 Zhijiang Road,regular
5038206,lanes,2,regular
5038206,oneway,yes,regular
5038206,highway,secondary,regular
5038206,en,Zhijiang Road,name
5038206,zh,之江路,name
5038206,zh_pinyin,Zhījiāng Lù,name
7370291,gauge,1435,regular
7370291,usage,main,regular
7370291,railway,rail,regular
7370291,voltage,25000,regular
7370291,frequency,50,regular
7370291,electrified,contact_line,regular
8027567,source,PGS,regular
8027567,natural,coastline,regular
8027567,admin_level,5,regular
9068952,highway,service,regular
9974917,source,PGS,regular
9974917,natural,coastline,regular
9976991,source,PGS,regular
9976991,natural,coastline,regular
9976991,admin_level,5,regular
9979603,source,PGS,regular
9979603,natural,coastline,regular
9981677,natural,coastline,regular
9983918,source,PGS,regular
9983918,natural,coastline,regular
9986399,source,PGS,regular
9986399,natural,coastline,regular
9988806,source,PGS,regular
9988806,natural,coastline,regular
9992312,source,PGS,regular
9992312,natural,coastline,regular
9992312,boundary,administrative,regular
9992312,admin_level,5,regular
9995964,source,PGS,regular
9995964,natural,coastline,regular
9999144,source,PGS,regular
9999144,natural,coastline,regular
10002759,source,PGS,regular
10002759,natural,coastline,regular
10005279,source,PGS,regular
10005279,natural,coastline,regular
10008176,source,PGS,regular
10008176,natural,coastline,regular
10013627,source,PGS,regular
10013627,natural,coastline,regular
10267014,source,estimation,regular
10267014,amenity,post_office,regular
10300077,name,杨高中路,regular
10300077,lanes,5,regular
10300077,oneway,yes,regular
10300077,highway,primary,regular
10300077,en,Middle Yanggao Road,name
10417427,lanes,2,regular
10417427,oneway,yes,regular
10417427,highway,motorway_link,regular
10417427,en,Exit 8 Lianggang Avenue,name
10507826,name,益乐路,regular
10507826,highway,tertiary,regular
10507826,en,Yile Road,name
10507826,zh,益乐路,name
10507826,zh_pinyin,Yìlè Lù,name
10567759,layer,-1,regular
10567759,waterway,canal,regular
10627798,highway,primary,regular
10627798,lanes,4,regular
10627798,layer,0,regular
10627798,name,张杨路,regular
10627798,en,Zhangyang Road,name
10627798,zh,张杨路,name
10627798,oneway,yes,regular
10686501,source,estimation,regular
10686501,amenity,parking,regular
11265794,lanes,1,regular
11265794,bicycle,yes,regular
11265794,highway,footway,regular
11641397,layer,-1,regular
11641397,waterway,canal,regular
12114531,name,广粤路,regular
12114531,lanes,2,regular
12114531,highway,secondary,regular
12114531,en,Guangyue Road,name
12114531,cycleway,lane,regular
13430399,lanes,1,regular
13430399,bridge,yes,regular
13430399,oneway,no,regular
13430399,bicycle,yes,regular
13430399,highway,footway,regular
14275980,name,剧院路,regular
14275980,highway,tertiary,regular
16274359,lanes,2,regular
16274359,layer,2,regular
16274359,bridge,yes,regular
16274359,oneway,yes,regular
16274359,highway,motorway_link,regular
22895929,highway,residential,regular
22895929,created_by,JOSM,regular
24474360,highway,primary,regular
24474360,name,翔殷路,regular
24474360,en,Xiangyin Road,name
24474360,oneway,yes,regular
24537593,aeroway,apron,regular
24991849,highway,residential,regular
27396072,name,政德东路,regular
27396072,highway,residential,regular
27396072,en,East Zhengde Road,name
27913967,highway,pedestrian,regular
28664325,building,yes,regular
28744490,building,yes,regular
28744490,created_by,Merkaartor 0.12,regular
28744490,housenumber,14,addr
28788887,building,yes,regular
28886033,building,yes,regular
